locationName,street,city,state,zip,latitude,longitude,icon
Boneyard,26 Station St,Chattanooga,TN,37408,35.0364770110727,-85.3058801444415,qftc
Four Bridges,315 N Market St,Chattanooga,TN,37405,35.0653287726788,-85.3091882849214,qftc
Clear Story Arts,1673 S Holtzclaw Ave,Chattanooga,TN,37404,35.0271813828178,-85.2899776774783,qftc
Vagabond,2602 E Main St,Chattanooga,TN,37404,35.0219180865013,-85.2693255462901,qftc
Alan Golds,1100 McCallie Ave,Chattanooga,TN,37404,35.0399105752162,-85.2852094260493,qftc
Wolf And Witch,124 E. 10th St,Chattanooga,TN,37402,35.0443598865338,-85.3078832530364,qftc
Bleu Fox Cheese Shop,324 E Main St,Chattanooga,TN,37408,35.0346110452286,-85.3031533156059,qftc
Main Line Tattoo,319 E Main St,Chattanooga,TN,37408,35.0350059901939,-85.3035527714286,qftc
Reading Room,3210b Brainerd Rd,Chattanooga,TN,37411,35.0273343288489,-85.254551422353,qftc
Stay Sharp Barber Shop,5519 TN-153,Hixon,TN,37343,35.1447717432051,-85.2497507597807,qftc
The Signal,21 Choo Choo Ave.,Chattanooga,TN,37402,35.0385310233281,-85.3059708156059,qftc
Frothy Monkey,1400 Market St.,Chattanooga,TN,37402,35.0378627865078,-85.3062124174543,qftc
Dragon,508 broad Street,Chattanooga,TN,37412,35.0508160008158,-85.310400102112,qftc
Snapdragon (East Ridge 2),3909 Ringgold Rd,East Ridge,TN,37412,34.9986418677755,-85.2538492291004,qftc
UUCC / Reconnect School,3224 Navajo Drive,Chattanooga,TN,37411,35.0184034702428,-85.2556436339983,qftc
No Hard Feelings,806 Broad St,Chattanooga,TN,37402,35.0469658088149,-85.3102326732766,qftc
Granny's,235 E. Martin Luther King Blvd,Chattanooga,TN,37402,35.0451456793717,-85.3056651886186,qftc
Bless Your Heart,233 E. Martin Luther King Blvd,Chattanooga,TN,37402,35.0451581445074,-85.3056469137574,qftc
Bad Apple,1634 Rossville Ave,Chattanooga,TN,37408,35.0335444015237,-85.3040485982357,qftc
Wildflower Wellness,122 Lee Parkway,Chattanooga,TN,37421,35.047849839959,-85.1614597732766,qftc
Full Circle Refillery,2312 E Main Street,Chattanooga,TN,37404,35.023700471217,-85.2735230221745,qftc
Southeastern Retina Associates,1606 Gunbarrel Rd,Chattanooga,TN,37421,35.0188940628597,-85.1611440444418,qftc
UTC Children's Center @ Brown Academy,225 Lookout St,Chattanooga,TN,37403,35.0548796085303,-85.3067783425926,qftc
White Duck Taco,1519 McCallie Ave,Chattanooga,TN,37404,35.0380762378361,-85.2789504953654,qftc
